sale_id,title,genre,city,price,quantity,rating,payment_type,sale_date
1,Book 1512,Self-Help,Bengaluru,857.11,5,1.1,NetBanking,2025-02-02
2,Book 3373,Romance,Mumbai,600.82,5,1.9,NetBanking,2025-10-10
3,Book 3461,Mystery,Bengaluru,1100.16,2,1.7,NetBanking,2025-08-27
4,Book 3016,Romance,Mumbai,1081.03,5,3.7,NetBanking,2025-06-10
5,Book 3067,Biography,Pune,1028.24,5,3.0,Card,2025-06-08
6,Book 2005,Self-Help,Chennai,539.11,4,3.6,UPI,2025-11-10
7,Book 913,Fiction,Delhi,851.25,1,4.7,COD,2025-02-01
8,Book 2403,Children,Bengaluru,1083.31,2,3.3,NetBanking,2025-09-12
9,Book 3966,Self-Help,Delhi,127.45,2,2.0,COD,2025-03-15
10,Book 2935,Children,Hyderabad,1103.01,3,4.0,COD,2025-02-04
11,Book 975,Mystery,Delhi,432.72,4,3.3,COD,2025-07-12
12,Book 1168,Biography,Hyderabad,1323.31,1,3.3,UPI,2025-12-23
13,Book 3845,History,Hyderabad,790.02,5,4.9,UPI,2025-09-26
14,Book 517,Children,Mumbai,1292.86,2,1.6,Card,2025-10-05
15,Book 819,Children,Bengaluru,1483.9,4,1.3,COD,2025-09-19
16,Book 693,History,Hyderabad,1386.89,1,4.8,UPI,2025-10-14
17,Book 2506,Mystery,Chennai,1159.37,5,3.6,UPI,2025-07-07
18,Book 1541,Children,Bengaluru,1349.47,1,3.7,COD,2025-02-16
19,Book 3144,Fiction,Delhi,855.11,3,1.1,Card,2025-11-03
20,Book 85,Biography,Delhi,559.78,3,1.3,COD,2025-06-14
21,Book 2838,Children,Mumbai,369.63,1,4.1,NetBanking,2025-07-02
22,Book 3429,History,Delhi,224.81,5,3.0,UPI,2025-05-16
23,Book 2853,Self-Help,Hyderabad,993.35,2,4.7,Card,2025-03-08
24,Book 2668,Sci-Fi,Mumbai,871.65,3,1.6,COD,2025-12-05
25,Book 3639,History,Chennai,183.64,2,1.1,Card,2025-10-13
26,Book 1476,Romance,Chennai,307.73,4,3.1,NetBanking,2025-08-24
27,Book 1238,Biography,Bengaluru,785.27,5,1.1,NetBanking,2025-05-27
28,Book 1406,Children,Bengaluru,457.55,1,1.6,COD,2025-10-28
29,Book 1121,Romance,Mumbai,1101.61,2,2.9,UPI,2025-07-19
30,Book 1703,Self-Help,Mumbai,506.0,1,2.3,UPI,2025-06-11
31,Book 112,Sci-Fi,Delhi,1421.69,4,1.0,UPI,2025-06-14
32,Book 1980,Children,Bengaluru,1169.94,1,3.7,Card,2025-03-24
33,Book 2535,History,Pune,1397.44,4,1.7,UPI,2025-02-03
34,Book 1510,Mystery,Hyderabad,154.14,4,4.1,Card,2025-07-22
35,Book 1838,History,Delhi,1392.23,4,4.4,NetBanking,2025-11-21
36,Book 3931,History,Mumbai,1179.08,5,3.0,COD,2025-01-24
37,Book 1550,Biography,Delhi,1210.85,4,2.3,Card,2025-11-10
38,Book 139,Biography,Hyderabad,878.15,4,3.0,UPI,2025-10-30
39,Book 142,Mystery,Bengaluru,852.57,2,4.2,NetBanking,2025-04-12
40,Book 2738,Fiction,Delhi,422.17,1,1.7,Card,2025-08-19
41,Book 3030,Children,Pune,382.18,2,4.2,COD,2025-03-02
42,Book 2364,History,Pune,1273.31,3,3.3,NetBanking,2025-10-04
43,Book 1749,Romance,Delhi,909.97,3,3.9,UPI,2025-09-13
44,Book 1549,Self-Help,Mumbai,869.96,1,1.4,NetBanking,2025-05-10
45,Book 245,Mystery,Bengaluru,1185.11,1,4.2,UPI,2025-01-25
46,Book 108,Fiction,Bengaluru,100.19,2,1.6,COD,2025-12-21
47,Book 2220,Romance,Pune,938.95,1,2.5,NetBanking,2025-06-12
48,Book 2928,History,Delhi,887.16,2,2.0,UPI,2025-11-22
49,Book 1275,Fiction,Bengaluru,971.33,2,1.8,NetBanking,2025-09-05
50,Book 123,Children,Chennai,935.88,5,1.0,UPI,2025-10-12
51,Book 3294,Self-Help,Hyderabad,1072.61,1,3.6,UPI,2025-10-05
52,Book 2870,Children,Delhi,1375.05,5,4.4,NetBanking,2025-03-13
53,Book 905,Biography,Delhi,554.41,1,2.6,Card,2025-05-13
54,Book 2621,Romance,Mumbai,847.24,3,3.9,NetBanking,2025-06-20
55,Book 2090,Romance,Chennai,709.8,5,3.0,NetBanking,2025-07-01
56,Book 1132,Children,Mumbai,408.39,4,4.2,COD,2025-01-16
57,Book 2574,History,Pune,801.89,2,2.1,Card,2025-07-19
58,Book 723,Sci-Fi,Delhi,1119.0,3,4.1,Card,2025-02-26
59,Book 3255,Children,Pune,324.17,1,4.4,NetBanking,2025-09-29
60,Book 2160,Romance,Bengaluru,173.31,4,3.2,COD,2025-09-07
61,Book 3140,Biography,Chennai,1297.01,2,4.0,Card,2025-12-03
62,Book 1221,Mystery,Hyderabad,1324.18,1,1.0,Card,2025-09-29
63,Book 1438,History,Bengaluru,1490.28,5,3.0,UPI,2025-05-14
64,Book 3191,Sci-Fi,Hyderabad,660.79,4,3.3,UPI,2025-12-20
65,Book 3156,Fiction,Mumbai,1411.85,5,3.6,Card,2025-05-30
66,Book 932,Sci-Fi,Mumbai,1181.23,3,2.1,Card,2025-04-29
67,Book 424,Sci-Fi,Pune,1012.37,5,2.8,COD,2025-11-27
68,Book 3785,Mystery,Mumbai,802.81,1,3.1,Card,2025-05-16
69,Book 1873,Mystery,Mumbai,974.89,3,4.4,UPI,2025-01-28
70,Book 377,Mystery,Chennai,935.29,1,3.5,UPI,2025-06-21
71,Book 2193,History,Chennai,325.6,2,2.6,UPI,2025-10-18
72,Book 982,Fiction,Mumbai,1141.17,3,1.4,NetBanking,2025-03-11
73,Book 2125,Self-Help,Mumbai,1409.37,2,2.4,NetBanking,2025-06-18
74,Book 1951,History,Pune,691.56,3,3.3,NetBanking,2025-02-17
75,Book 2612,History,Bengaluru,1058.12,4,1.9,COD,2025-09-08
76,Book 1866,Children,Mumbai,1363.74,4,2.3,COD,2025-06-23
